sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
480,35,1,0,0,0,1,0,3.121928094887362,com,0,0
481,46,1,0,0,0,2,0,2.9477027792200903,io,0,0
482,19,0,0,0,0,0,0,3.584962500721156,com,0,0
483,44,1,0,0,0,1,0,3.452819531114783,com,0,0
484,41,1,0,0,0,2,0,3.277613436819116,app,0,0
485,21,0,0,0,0,0,0,3.8073549220576055,com,0,0
486,44,1,0,0,0,1,0,3.452819531114783,com,0,0
487,34,1,0,0,0,1,0,2.6464393446710157,com,0,0
488,33,1,0,0,0,0,0,2.6464393446710157,com,0,0
489,40,1,0,0,0,1,0,3.452819531114783,com,0,0
490,44,1,0,0,0,1,0,3.452819531114783,com,0,0
491,35,0,0,0,0,0,0,3.6644977792004623,com,0,0
492,50,1,0,0,0,0,0,3.277613436819116,app,0,0
493,39,1,0,0,0,1,0,3.452819531114783,com,0,0
494,18,0,0,0,0,0,0,3.459431618637298,com,0,0
495,35,1,0,0,0,1,0,3.452819531114783,com,0,0
496,37,1,0,0,0,0,0,3.452819531114783,com,0,0
497,32,1,0,0,0,1,0,2.9219280948873623,io,0,0
498,37,1,0,0,0,0,0,3.452819531114783,com,0,0
499,29,1,0,0,0,1,0,2.9477027792200903,io,0,0
500,17,0,0,0,0,0,0,3.121928094887362,vip,0,0
501,25,0,0,0,0,1,0,3.8365916681089787,net,0,0
502,97,1,0,0,0,4,0,3.5464393446710156,com,0,0
503,19,0,0,0,0,0,0,3.584962500721156,com,0,0
504,38,1,0,0,0,2,0,2.9219280948873623,io,0,0
505,41,1,0,0,0,3,0,2.9219280948873623,io,0,0
506,44,1,0,0,0,2,0,3.452819531114783,com,0,0
507,29,0,0,0,0,0,0,3.121928094887362,vip,0,0
508,21,1,0,0,0,0,0,3.169925001442312,net,0,0
509,27,1,0,0,0,0,0,3.189898095464288,com.br,0,0
510,18,0,0,0,0,0,0,2.1867043459100244,bet,0,0
